actual: -11.881660461425781, predicted: 3.4028234663852886e+38
actual: 7.039610862731934, predicted: 3.4028234663852886e+38
actual: -11.618902206420898, predicted: 3.4028234663852886e+38
actual: -12.948246002197266, predicted: 3.4028234663852886e+38
actual: -12.364274024963379, predicted: 5.429652690887451
actual: -14.719837188720703, predicted: 7.184401512145996
actual: 3.8062403202056885, predicted: 3.4028234663852886e+38
actual: 9.495855331420898, predicted: 3.4028234663852886e+38
actual: -8.750062942504883, predicted: -7.00985860824585
actual: -9.094175338745117, predicted: 1.5028762817382812
actual: -3.757610321044922, predicted: 9.134963035583496
actual: -15.215198516845703, predicted: 13.72291088104248
actual: 6.095759391784668, predicted: 25.945308685302734
actual: -11.038280487060547, predicted: -2.64644193649292
actual: -7.563331127166748, predicted: -3.4377281665802
actual: 1.943284273147583, predicted: 6.662835121154785
actual: -1.4032936096191406, predicted: 7.715980052947998
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -4.7618584632873535, predicted: 0.9397830963134766
actual: -7.795032501220703, predicted: 0.40532445907592773
actual: -10.605308532714844, predicted: 10.607232093811035
actual: -9.294097900390625, predicted: 8.460816383361816
actual: -7.77130126953125, predicted: 7.2195844650268555
actual: -10.941202163696289, predicted: -3.954315662384033
actual: 1.2712435722351074, predicted: 19.00300407409668
actual: -2.5915234088897705, predicted: 7.790821075439453
actual: -1.557384967803955, predicted: 12.484527587890625
actual: -7.79860782623291, predicted: 3.7840774059295654
actual: -0.911622166633606, predicted: 3.4028234663852886e+38
actual: -6.192026138305664, predicted: 3.4028234663852886e+38
actual: -4.747159957885742, predicted: -0.8062863349914551
actual: -1.6811096668243408, predicted: 5.6367506980896
actual: -10.499906539916992, predicted: -4.469902515411377
actual: -4.999632835388184, predicted: 1.2596898078918457
actual: -17.285932540893555, predicted: 3.4028234663852886e+38
actual: -12.034122467041016, predicted: 3.2897253036499023
actual: -14.498824119567871, predicted: 20.640104293823242
actual: -30.850173950195312, predicted: 16.0562686920166
actual: 1.5125479698181152, predicted: 19.662384033203125
actual: -15.937549591064453, predicted: 3.4028234663852886e+38
actual: -1.7019731998443604, predicted: 4.468409538269043
actual: -18.29913902282715, predicted: 3.4028234663852886e+38
actual: -5.872829437255859, predicted: 3.4028234663852886e+38
actual: -11.672179222106934, predicted: -6.820468902587891
actual: -10.830695152282715, predicted: -5.964828014373779
actual: -11.458475112915039, predicted: 3.4028234663852886e+38
actual: 6.521215915679932, predicted: 16.964506149291992
actual: -3.3141136169433594, predicted: 6.452672481536865
actual: -13.400405883789062, predicted: 0.8007422685623169
actual: -6.525051116943359, predicted: 12.412325859069824
actual: -11.266144752502441, predicted: -1.4470187425613403
actual: -11.639358520507812, predicted: -4.498506546020508
actual: -11.19738483428955, predicted: 2.965723991394043
actual: -9.256793022155762, predicted: -7.407840728759766
actual: -3.457916736602783, predicted: 3.093878746032715
actual: -7.600781440734863, predicted: 3.4028234663852886e+38
actual: -2.3844199180603027, predicted: 7.184842586517334
actual: -12.305024147033691, predicted: 3.4028234663852886e+38
actual: -6.711606025695801, predicted: 2.4664735794067383
actual: -6.0984296798706055, predicted: 3.4028234663852886e+38
actual: -6.35706901550293, predicted: 3.4028234663852886e+38
actual: -1.2939119338989258, predicted: 2.7848639488220215
actual: 3.4028234663852886e+38, predicted: 29.955141067504883
actual: -13.00600528717041, predicted: 3.4028234663852886e+38
actual: -2.244858741760254, predicted: 19.2600154876709
actual: -10.126511573791504, predicted: 3.4028234663852886e+38
actual: -12.866277694702148, predicted: 3.4028234663852886e+38
actual: -0.07026982307434082, predicted: 9.598699569702148
actual: -4.797586917877197, predicted: 3.2286312580108643
actual: -6.273810386657715, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 27.362457275390625
actual: -10.079472541809082, predicted: -0.6656387448310852
actual: -14.148204803466797, predicted: 18.988510131835938
actual: -14.6619291305542, predicted: 10.305218696594238
actual: 3.4028234663852886e+38, predicted: 25.109477996826172
actual: -5.361248016357422, predicted: 4.209829330444336
actual: -7.576237201690674, predicted: 2.514566659927368
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -0.5762474536895752, predicted: 7.776127815246582
actual: -19.699281692504883, predicted: 3.4028234663852886e+38
actual: -10.345038414001465, predicted: -0.7858870029449463
actual: -10.384004592895508, predicted: -7.6064534187316895
actual: -32.43490219116211, predicted: 9.30900764465332
actual: -7.749391555786133, predicted: -3.340423583984375
actual: -5.513656139373779, predicted: 8.667978286743164
actual: 3.4028234663852886e+38, predicted: 28.11573600769043
actual: -7.173616409301758, predicted: 2.146071672439575
actual: -7.052065372467041, predicted: 4.172813415527344
actual: -8.047628402709961, predicted: 5.397797584533691
actual: -4.9863362312316895, predicted: 2.8551254272460938
actual: -2.480243682861328, predicted: 7.942266464233398
actual: -11.075118064880371, predicted: -7.085892677307129
actual: -9.947013854980469, predicted: 5.977248191833496
actual: -2.9967517852783203, predicted: 7.720500946044922
actual: -11.236550331115723, predicted: -1.5013487339019775
actual: -2.7741198539733887, predicted: 7.729206085205078
actual: -15.688077926635742, predicted: 2.0057811737060547
actual: -11.898719787597656, predicted: -6.151933670043945
actual: 9.657859802246094, predicted: 3.4028234663852886e+38
actual: -11.436777114868164, predicted: 5.105496406555176
actual: -14.642311096191406, predicted: 17.473297119140625
actual: -6.789872169494629, predicted: 3.8133163452148438
actual: -2.8519015312194824, predicted: 7.264649391174316
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -12.706631660461426, predicted: 7.709903717041016
actual: -8.09240436553955, predicted: 3.4028234663852886e+38
actual: -19.451602935791016, predicted: 9.971322059631348
actual: -12.151867866516113, predicted: 7.082794189453125
actual: -11.79758071899414, predicted: 20.416431427001953
actual: -2.506195545196533, predicted: 8.232803344726562
actual: 0.5549259185791016, predicted: 3.886301279067993
actual: 3.4028234663852886e+38, predicted: 44.21326446533203
actual: -3.9392786026000977, predicted: -3.2035441398620605
actual: -6.714164733886719, predicted: 3.0037083625793457
actual: -9.310678482055664, predicted: -4.165520668029785
actual: -17.73566246032715, predicted: 4.140185832977295
actual: -6.02190637588501, predicted: 3.4028234663852886e+38
actual: -12.384632110595703, predicted: 3.4028234663852886e+38
actual: -32.7296142578125, predicted: 16.678607940673828
actual: -7.133664608001709, predicted: 3.159213066101074
actual: -9.210609436035156, predicted: 11.447443962097168
actual: -6.884521484375, predicted: -3.408776044845581
actual: 3.4028234663852886e+38, predicted: 21.504343032836914
actual: -10.20315933227539, predicted: 3.4028234663852886e+38
actual: -3.5826621055603027, predicted: -2.927436351776123
actual: -11.357484817504883, predicted: -1.805070400238037
actual: -6.551082611083984, predicted: 9.447463035583496
actual: -4.645923614501953, predicted: -1.5128295421600342
actual: -14.073176383972168, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 21.425334930419922
actual: -8.207754135131836, predicted: -5.8485541343688965
actual: -7.523007869720459, predicted: 11.198748588562012
actual: -2.0073413848876953, predicted: 3.214630603790283
actual: -7.6845550537109375, predicted: 2.2418830394744873
actual: 0.08742809295654297, predicted: 9.612022399902344
actual: 7.771596908569336, predicted: 3.4028234663852886e+38
actual: -6.086367607116699, predicted: 7.490776062011719
actual: 4.119298934936523, predicted: 3.4028234663852886e+38
actual: 0.6895689964294434, predicted: 8.215455055236816
actual: -1.9381821155548096, predicted: 3.4028234663852886e+38
actual: -3.025639533996582, predicted: 7.134527206420898
actual: 0.3917675018310547, predicted: 3.4028234663852886e+38
actual: -1.4711756706237793, predicted: 10.68143367767334
actual: 0.015208959579467773, predicted: 8.743766784667969
actual: -8.614952087402344, predicted: 3.4028234663852886e+38
actual: -5.125579357147217, predicted: 3.4028234663852886e+38
actual: -0.8065910339355469, predicted: 3.4028234663852886e+38
actual: -3.564952850341797, predicted: 8.387939453125
actual: 0.41191959381103516, predicted: 3.4028234663852886e+38
actual: -3.9671826362609863, predicted: 4.930933475494385
actual: -7.0903730392456055, predicted: 0.7620512247085571
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -16.505889892578125, predicted: 6.184313774108887
actual: -19.341869354248047, predicted: 3.4028234663852886e+38
actual: 2.3222744464874268, predicted: 2.2528152465820312
actual: 3.4028234663852886e+38, predicted: 17.134109497070312
actual: -9.964643478393555, predicted: 1.2247161865234375
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 28.59127426147461
actual: -25.444957733154297, predicted: 23.574472427368164
actual: 6.681806564331055, predicted: 3.4028234663852886e+38
actual: -3.1350677013397217, predicted: 10.620763778686523
actual: -2.1079225540161133, predicted: 8.096961975097656
actual: -6.951364994049072, predicted: 9.476158142089844
actual: -14.413334846496582, predicted: 10.191701889038086
actual: 7.651092529296875, predicted: 18.29181671142578
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -10.160870552062988, predicted: -7.286759376525879
actual: -14.387550354003906, predicted: -0.03904688358306885
actual: -13.511260986328125, predicted: 3.4028234663852886e+38
actual: -5.38928747177124, predicted: 0.6046113967895508
actual: -9.913935661315918, predicted: 3.3042774200439453
actual: -10.773921012878418, predicted: 3.4028234663852886e+38
actual: -17.752166748046875, predicted: 3.4028234663852886e+38
actual: -3.922311305999756, predicted: 12.840189933776855
actual: -7.269485950469971, predicted: 0.6094400882720947
actual: -12.129474639892578, predicted: 3.4028234663852886e+38
actual: 0.3882265090942383, predicted: 6.417146682739258
actual: -20.769611358642578, predicted: 6.740696907043457
actual: -4.860579490661621, predicted: -2.9058172702789307
actual: -1.0509065389633179, predicted: -1.3742610216140747
actual: -8.326685905456543, predicted: 7.705483436584473
actual: -9.317917823791504, predicted: 3.4028234663852886e+38
actual: -12.765564918518066, predicted: -4.204231262207031
actual: -0.9395294189453125, predicted: 3.4028234663852886e+38
actual: -6.169032096862793, predicted: 3.4028234663852886e+38
actual: -3.2428059577941895, predicted: 3.2820849418640137
actual: -3.308293342590332, predicted: 7.421332836151123
actual: -0.24854278564453125, predicted: 17.97559356689453
actual: -7.351804733276367, predicted: -3.8657405376434326
actual: -2.667710781097412, predicted: 6.813683032989502
actual: -12.657039642333984, predicted: 3.4028234663852886e+38
actual: -8.43913745880127, predicted: -3.104581832885742
actual: -32.664703369140625, predicted: 19.35529327392578
actual: -8.607869148254395, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 49.85804748535156
actual: -11.111146926879883, predicted: -2.8698086738586426
actual: -4.913154602050781, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: 0.5424158573150635, predicted: 3.4028234663852886e+38
actual: -6.579198837280273, predicted: 0.2246612310409546
actual: -14.443391799926758, predicted: 5.25462532043457
actual: -9.753296852111816, predicted: 3.4028234663852886e+38
actual: -2.3922693729400635, predicted: 6.346583366394043
actual: -13.042434692382812, predicted: 2.371490240097046
actual: -12.802864074707031, predicted: 15.959330558776855
actual: -3.899811267852783, predicted: -0.06988525390625
actual: -11.232813835144043, predicted: -3.2048070430755615
actual: -15.61644458770752, predicted: 3.4028234663852886e+38
actual: -11.721935272216797, predicted: -5.927534580230713
actual: 6.184477806091309, predicted: 3.4028234663852886e+38
actual: -2.4225645065307617, predicted: 12.598904609680176
actual: -9.037264823913574, predicted: -2.2831711769104004
actual: 13.463251113891602, predicted: 3.4028234663852886e+38
actual: -12.885902404785156, predicted: 3.4028234663852886e+38
actual: -9.591060638427734, predicted: -1.8074660301208496
actual: -12.443278312683105, predicted: -8.391671180725098
actual: -11.933368682861328, predicted: 2.123607635498047
actual: 1.586151123046875, predicted: 22.923593521118164
actual: 0.03173351287841797, predicted: 10.052684783935547
actual: -0.2415924072265625, predicted: 12.067459106445312
actual: -1.0577151775360107, predicted: 3.4028234663852886e+38
actual: 0.7984640002250671, predicted: 4.779398441314697
actual: -13.644875526428223, predicted: 3.4028234663852886e+38
actual: -11.525714874267578, predicted: -0.44267892837524414
actual: -8.016701698303223, predicted: 1.1742547750473022
actual: 2.2328662872314453, predicted: 26.356563568115234
actual: -8.239727020263672, predicted: 1.8307794332504272
actual: -19.524662017822266, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -10.636800765991211, predicted: -3.680880069732666
actual: -1.574483871459961, predicted: 6.106362819671631
actual: -4.201200008392334, predicted: -0.4566473960876465
actual: -6.342135429382324, predicted: 3.4028234663852886e+38
actual: -3.57348370552063, predicted: 3.167484998703003
actual: -0.9409198760986328, predicted: 6.390350818634033
actual: -10.952391624450684, predicted: 3.4028234663852886e+38
actual: -12.912736892700195, predicted: -0.8703333139419556
actual: -8.200896263122559, predicted: 8.80023193359375
actual: -7.14764404296875, predicted: 2.2951245307922363
actual: -1.7051787376403809, predicted: 6.430545806884766
actual: 7.970632076263428, predicted: 2.509758472442627
actual: -7.2066497802734375, predicted: 12.260568618774414
actual: -6.550605773925781, predicted: -3.431837558746338
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -8.925048828125, predicted: 6.894102096557617
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -7.766800880432129, predicted: 0.6360763907432556
actual: -9.17794418334961, predicted: 3.4028234663852886e+38
actual: -13.688987731933594, predicted: -0.18792378902435303
actual: -17.331695556640625, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -2.719208240509033, predicted: 6.720743179321289
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -32.39352798461914, predicted: 15.468791007995605
actual: -11.345203399658203, predicted: 9.513162612915039
actual: -5.785524368286133, predicted: 10.55670166015625
actual: -6.890692710876465, predicted: 13.059856414794922
actual: -31.082429885864258, predicted: 18.336566925048828
actual: -16.30194854736328, predicted: 14.099174499511719
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -14.375011444091797, predicted: 3.4028234663852886e+38
actual: 2.940855026245117, predicted: 3.4028234663852886e+38
actual: -3.3822879791259766, predicted: 17.7308292388916
actual: -2.1001906394958496, predicted: 3.4028234663852886e+38
actual: -12.44638442993164, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -7.950021743774414, predicted: 3.352722644805908
actual: 3.4028234663852886e+38, predicted: 21.685104370117188
actual: -8.498689651489258, predicted: 3.14072322845459
actual: -11.43341064453125, predicted: 12.013835906982422
actual: -7.412864685058594, predicted: 10.965047836303711
actual: -10.905277252197266, predicted: -4.8238091468811035
actual: -5.9945573806762695, predicted: -2.4622273445129395
actual: -12.164191246032715, predicted: 9.507872581481934
actual: -9.022418975830078, predicted: 3.4028234663852886e+38
actual: -30.638633728027344, predicted: 24.58657455444336
actual: -11.199573516845703, predicted: 5.190729141235352
actual: -6.697168350219727, predicted: 6.460765838623047
actual: -9.278129577636719, predicted: 0.590548038482666
actual: -2.0478971004486084, predicted: -1.1182169914245605
actual: -11.579873085021973, predicted: 3.4028234663852886e+38
actual: -10.436832427978516, predicted: 1.3168134689331055
actual: 2.162208080291748, predicted: 3.4028234663852886e+38
actual: -10.392461776733398, predicted: 3.4028234663852886e+38
actual: -12.08661937713623, predicted: 3.693640947341919
actual: -10.413991928100586, predicted: -2.8039002418518066
actual: -16.96121597290039, predicted: 2.774012565612793
actual: -10.74976921081543, predicted: 3.4028234663852886e+38
actual: -4.139716625213623, predicted: -1.6352827548980713
actual: -7.096246719360352, predicted: 14.745157241821289
actual: -8.674510955810547, predicted: -3.088864803314209
actual: -8.118049621582031, predicted: 8.07252025604248
actual: 2.864727020263672, predicted: 3.4028234663852886e+38
actual: -18.802173614501953, predicted: 2.7831459045410156
actual: -7.328320026397705, predicted: 11.38882827758789
actual: -2.0801072120666504, predicted: 1.4136364459991455
actual: -7.229805946350098, predicted: 0.7576298713684082
actual: 3.4028234663852886e+38, predicted: 27.032522201538086
actual: -4.494967460632324, predicted: 2.1510510444641113
actual: -8.642524719238281, predicted: -0.45299994945526123
actual: -3.20849609375, predicted: 1.6089245080947876
actual: -4.1997599601745605, predicted: 6.812773704528809
actual: -7.209716796875, predicted: 8.728314399719238
actual: -11.394050598144531, predicted: 2.3456382751464844
actual: 0.25788724422454834, predicted: 6.565600395202637
actual: -11.9198637008667, predicted: 3.4028234663852886e+38
actual: -2.1346275806427, predicted: 0.1935487985610962
actual: -14.917303085327148, predicted: 5.880908489227295
actual: -1.4511678218841553, predicted: 3.4028234663852886e+38
actual: -12.48404312133789, predicted: 3.4028234663852886e+38
actual: -13.333199501037598, predicted: 3.4028234663852886e+38
actual: -19.177724838256836, predicted: 17.402292251586914
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -11.758477210998535, predicted: -7.3731913566589355
actual: -15.576434135437012, predicted: 7.218146324157715
actual: -16.062057495117188, predicted: 15.445886611938477
actual: -8.813087463378906, predicted: 20.917007446289062
actual: -11.699789047241211, predicted: 1.3884046077728271
actual: -10.711934089660645, predicted: 3.2185375690460205
actual: -2.370034694671631, predicted: 3.4028234663852886e+38
actual: -12.322772979736328, predicted: 3.4028234663852886e+38
actual: -14.041505813598633, predicted: 12.436888694763184
actual: -6.826998710632324, predicted: 1.723973035812378
actual: 3.4028234663852886e+38, predicted: 3.4028234663852886e+38
actual: -0.8124303817749023, predicted: 3.4028234663852886e+38
actual: -3.647122859954834, predicted: 8.373820304870605
